Mot1	Mot2	Mot3	Mot4	Mot5	Mot6	Tsample=3ms
-6208	3380	139	-4320	-4320	1195	
-6242	3387	138	-4345	-4347	1195	
-6281	3392	138	-4372	-4375	1195	
-6312	3394	138	-4395	-4396	1195	
-6342	3395	138	-4416	-4418	1195	
-6373	3398	138	-4438	-4441	1195	
-6381	3399	138	-4444	-4447	1195	
-6381	3399	138	-4444	-4447	1195	
-6381	3399	138	-4444	-4447	1195	
-6381	3399	138	-15708	-4447	1195	
-6387	3399	139	-4444	-4453	1195	
-6390	3401	-15735	-4443	-4454	1195	
-6390	3401	137	-4443	-4454	1195	
-6390	3401	137	-4443	-4454	1195	
-6390	3401	-15735	-4607	-4454	-15701	
-15862	3401	1	-4607	-4454	1195	
-6390	3401	137	-15707	-4454	1195	
-6390	3401	137	-4443	-4455	1195	
-6390	3401	137	-4443	-15719	1195	
-6390	3401	137	-4443	-4455	1195	
-6390	3401	137	-4443	-4607	-15701	
-6390	3329	137	-4443	-15719	1195	
-6390	3329	137	-4443	-4455	1195	
-6392	3403	137	-4446	-4607	1195	
-6392	3403	-15735	-4446	-15721	1195	
-6392	3403	1	-4446	-15721	1195	
-6392	3403	137	-4607	-4457	1195	
-6392	3403	137	-15710	-4457	1195	
-15864	3403	137	-4446	-4457	-15871	
-6396	3406	139	-15714	-4454	1195	
-6396	3406	139	-4450	-4454	1195	
-6396	3406	139	-4450	-4454	1195	
-6396	3406	139	-4450	-4454	1195	
-6396	3406	139	-4450	-4607	1195	
-6402	3410	139	-4456	-4458	1195	
-6429	3424	138	-4476	-4480	1195	
-6466	3434	135	-4501	-4507	1195	
-6504	3442	131	-4529	-4535	1195	
-6535	3446	129	-4552	-4558	-15701	
-6565	3450	129	-4573	-4581	1195	
-6603	3454	129	-4601	-4609	1195	
-6618	3455	129	-4612	-4620	1195	
-6618	3455	129	-4612	-4620	1195	
-6618	3455	129	-15620	-4620	1195	
-6618	3455	129	-4612	-4620	1195	
-6624	3456	129	-4616	-4625	1195	
-6656	3457	129	-4640	-4650	1195	
-6694	3457	129	-4668	-4678	1195	
-6733	3457	129	-4697	-4708	1195	
-6771	3457	129	-4726	-4737	1195	
-15768	3457	129	-4753	-4765	1195	
-6820	3457	129	-4762	-15781	1195	
-6820	3457	129	-4762	-4773	1195	
-6820	3457	129	-4762	-4773	-15701	
-6820	3457	129	-4762	-4773	1195	
-6820	3457	129	-4762	-4773	1195	
-6826	3457	129	-4757	-4780	1195	
-6826	3457	129	-4757	-4780	1195	
-6826	3457	129	-4757	-4780	-15701	
-6826	3329	129	-15765	-4780	1195	
-15786	-15743	129	-4863	-4780	1195	
-6839	3452	127	-15766	-4782	1195	
-6859	3467	136	-4775	-4796	1195	
-6883	3493	149	-4791	-4813	1195	
-6906	3519	162	-4809	-4831	1195	
-6936	3538	168	-4831	-4856	1195	
-6971	3550	166	-4857	-4883	1195	
-7007	3556	165	-4883	-4910	1195	
-7035	3560	165	-4905	-4933	1195	
-7059	3563	165	-4922	-4952	1195	
-7059	3563	165	-4922	-4952	1195	
-7059	3563	165	-4922	-4952	1195	
-7059	-15637	165	-4922	-4952	1195	
-7059	3563	165	-4922	-4952	1195	
-7070	3564	165	-4931	-4960	1195	
-7106	3566	165	-4958	-4988	1195	
-7144	3329	165	-4985	-5017	1195	
-7177	3566	165	-5010	-5043	1195	
-7218	3566	165	-5041	-5073	1195	
-7255	3566	165	-5068	-5101	1195	
-7263	3566	1	-5074	-5108	1195	
-7263	3566	165	-5074	-5119	1195	
-7263	3566	165	-15826	-5108	1195	
-7263	3566	165	-5074	-5108	1195	
-7265	3563	163	-5072	-5106	1195	
-7265	3563	163	-15824	-5106	1195	
-7265	-15637	1	-5072	-5106	1025	
-15713	3563	163	-5072	-5106	1025	
-7265	3563	163	-5072	-5106	1195	
-7263	3565	160	-5070	-5099	1195	
-7263	3565	160	-5070	-5119	1195	
-7263	3565	160	-5070	-5099	1195	
-7263	3565	160	-5070	-15851	1195	
-7263	3565	-15712	-5070	-15851	1195	
-7267	3567	160	-5072	-5101	1195	
-7294	3580	159	-5092	-5121	1195	
-7328	3585	156	-5117	-5149	1195	
-7357	3596	156	-5139	-5171	1195	
-7391	3600	156	-5164	-5197	1195	
-7421	3603	156	-5185	-5221	1195	
-7458	3608	156	-5213	-5250	1195	
-7486	3611	156	-5234	-5270	1195	
-7486	3611	156	-5234	-5270	1195	
-7486	3611	-32612	-5234	-5270	1195	
-7486	3611	156	-5234	-5270	1195	
-7486	3585	156	-5234	-5270	1195	
-7497	3611	156	-5242	-5279	1195	
-7523	3612	156	-5263	-5301	1195	
-7552	3615	156	-5284	-5323	1195	
-7581	3618	156	-5306	-5345	1195	
-7615	3620	156	-5332	-5371	1195	
-7650	3623	156	-5357	-5398	1195	
-7685	3625	156	-5631	-5425	1195	
-7705	3627	156	-5399	-5440	1195	
-7705	3627	156	-5399	-5440	1195	
-7705	3627	156	-5399	-5440	1195	
-7705	3627	156	-5399	-5440	1195	
-7705	3627	156	-5399	-5440	1195	
-7717	3629	156	-5407	-5449	1195	
-7745	3631	156	-5428	-5472	1195	
-7775	3633	156	-5450	-5495	1195	
-7804	3634	156	-5472	-5517	1195	
-7842	3635	156	-5500	-5547	1195	
-7872	3638	156	-15762	-5571	1195	
-7903	3641	156	-5545	-5595	1195	
-7924	3643	156	-5560	-5611	1195	
-7924	3643	156	-5560	-5611	1195	
-7924	3643	156	-5560	-5611	1195	
-7924	3643	156	-5560	-5611	1195	
-15860	3643	156	-5560	-5611	1195	
-7930	3643	156	-5564	-5615	1195	
-7957	3645	1	-5585	-5638	1195	
-7991	3647	156	-15851	-5663	1195	
